,Room Heat Gain [W]
72.0,-246.9607269804595
72.01666666666667,-246.79043307679677
72.03333333333333,-246.62020872585902
72.05,-246.45005418677223
72.06666666666666,-246.2799697216479
72.08333333333333,-246.10995559545506
72.1,-245.94001207588735
72.11666666666666,-245.77013943323593
72.13333333333334,-245.6003379402556
72.15,-245.43060787203189
72.16666666666667,-245.26094950584908
72.18333333333334,-245.09136312105596
72.2,-244.92184899892405
72.21666666666667,-244.7524074225245
72.23333333333333,-244.58303867658154
72.25,-244.41374304735024
72.26666666666667,-244.2445208224623
72.28333333333333,-244.07537229079801
72.3,-243.90629774233238
72.31666666666666,-243.73729746799316
72.33333333333333,-243.56837175949087
72.35,-243.39952090916583
72.36666666666666,-243.2307452098001
72.38333333333334,-243.06204495442847
72.4,-242.8934204361353
72.41666666666667,-242.72487194783753
72.43333333333334,-242.55639978203882
72.45,-242.38800423058612
72.46666666666667,-242.21968558439937
72.48333333333333,-242.0514441331737
72.5,-241.8832801651006
72.51666666666667,-241.7151939665341
72.53333333333333,-241.54718582167843
72.55,-241.37925601224464
72.56666666666666,-241.21140481711674
72.58333333333333,-241.04363251200024
72.6,-240.8759393690673
72.61666666666666,-240.70832565663054
72.63333333333334,-240.54079163878632
72.65,-240.37333757508605
72.66666666666667,-240.20596372021197
72.68333333333334,-240.03867032366057
72.7,-239.87145762945778
72.71666666666667,-239.7043258758737
72.73333333333333,-239.5372752951618
72.75,-239.37030611333176
72.76666666666667,-239.20341854992586
72.78333333333333,-239.036612817826
72.8,-238.8698891230927
72.81666666666666,-238.70324766482517
72.83333333333333,-238.53668863504183
72.85,-238.3702122185874
72.86666666666666,-238.20381859307574
72.88333333333334,-238.0375079288453
72.9,-237.87128038894394
72.91666666666667,-237.7051361291383
72.93333333333334,-237.539075297953
72.95,-237.3730980367099
72.96666666666667,-237.20720447962182
72.98333333333333,-237.04139475387055
73.0,-236.87566897973448
73.01666666666667,-236.68950852071575
73.03333333333333,-236.5035348274284
73.05,-236.3177474873058
73.06666666666666,-236.13214608405397
73.08333333333333,-235.94673019782786
73.1,-235.76149940541023
73.11666666666666,-235.57645328042028
73.13333333333334,-235.3915913935028
73.15,-235.2069133125556
73.16666666666667,-235.02241860293142
73.18333333333334,-234.83810682766247
73.2,-234.653977547699
73.21666666666667,-234.47003032212086
73.23333333333333,-234.28626470837625
73.25,-234.10268026252064
73.26666666666667,-233.91927653944148
73.28333333333333,-233.73605309309448
73.3,-233.55300947675084
73.31666666666666,-233.37014524322342
73.33333333333333,-233.18745994511846
73.35,-233.00495313506931
73.36666666666666,-232.8226243659912
73.38333333333334,-232.6404731913203
73.4,-232.4584991652732
73.41666666666667,-232.27670184309827
73.43333333333334,-232.09508078134047
73.45,-231.9136355380998
73.46666666666667,-231.73236567330508
73.48333333333333,-231.55127074897803
73.5,-231.37035032950564
73.51666666666667,-231.18960398192186
73.53333333333333,-231.00903127617542
73.55,-230.8286317854072
73.56666666666666,-230.64840508622146
73.58333333333333,-230.46835075895603
73.6,-230.2884683879393
73.61666666666666,-230.10875756175471
73.63333333333334,-229.92921787348848
73.65,-229.74984892097126
73.66666666666667,-229.57065030700565
73.68333333333334,-229.39162163958778
73.7,-229.21276253210576
73.71666666666667,-229.0340726035424
73.73333333333333,-228.8555514786412
73.75,-228.677198788075
73.76666666666667,-228.49901416858873
73.78333333333333,-228.3209972631322
73.8,-228.14314772096938
73.81666666666666,-227.96546519776894
73.83333333333333,-227.7879493556936
73.85,-227.61059986345742
73.86666666666666,-227.43341639636782
73.88333333333334,-227.2563986363656
73.9,-227.0795462720295
73.91666666666667,-226.90285899857216
73.93333333333334,-226.72633651783497
73.95,-226.54997853825236
73.96666666666667,-226.37378477480428
73.98333333333333,-226.19775494896604
74.0,-226.0218887886411
74.01666666666667,-225.83079696558124
74.03333333333333,-225.639945228101
74.05,-225.4493329381444
74.06666666666666,-225.25895946562815
74.08333333333333,-225.06882418831714
74.1,-224.87892649169905
74.11666666666666,-224.68926576884743
74.13333333333334,-224.49984142026224
74.15,-224.31065285374788
74.16666666666667,-224.12169948423204
74.18333333333334,-223.9329807336345
74.2,-223.74449603068595
74.21666666666667,-223.55624481078073
74.23333333333333,-223.36822651581025
74.25,-223.18044059399253
74.26666666666667,-222.9928864997021
74.28333333333333,-222.80556369329764
74.3,-222.61847164095477
74.31666666666666,-222.4316098144671
74.33333333333333,-222.24497769108567
74.35,-222.0585747533085
74.36666666666666,-221.8724004886928
74.38333333333334,-221.68645438964788
74.4,-221.50073595322513
74.41666666666667,-221.31524468088367
74.43333333333334,-221.1299800782741
74.45,-220.94494165498617
74.46666666666667,-220.76012892430882
74.48333333333333,-220.57554140295494
74.5,-220.39117861080643
74.51666666666667,-220.20704007062741
74.53333333333333,-220.02312530779648
74.55,-219.83943384999876
74.56666666666666,-219.65596522695512
74.58333333333333,-219.47271897012445
74.6,-219.28969461240243
74.61666666666666,-219.10689168783526
74.63333333333334,-218.92430973134324
74.65,-218.74194827842294
74.66666666666667,-218.55980686488766
74.68333333333334,-218.3778850265934
74.7,-218.19618229919143
74.71666666666667,-218.0146982178805
74.73333333333333,-217.83343231717492
74.75,-217.65238413069454
74.76666666666667,-217.4715531909688
74.78333333333333,-217.29093902923924
74.8,-217.11054117530244
74.81666666666666,-216.93035915735527
74.83333333333333,-216.75039250186236
74.85,-216.5706407334311
74.86666666666666,-216.39110337473005
74.88333333333334,-216.21177994638467
74.9,-216.0326699669279
74.91666666666667,-215.85377295273744
74.93333333333334,-215.6750884180132
74.95,-215.4966158747479
74.96666666666667,-215.31835483273073
74.98333333333333,-215.14030479955883
75.0,-214.96246528064705
75.01666666666667,-214.76944671677725
75.03333333333333,-214.57671461694844
75.05,-214.3842680955941
75.06666666666666,-214.19210626709537
75.08333333333333,-214.00022824586145
75.1,-213.808633146404
75.11666666666666,-213.6173200834101
75.13333333333334,-213.42628817185275
75.15,-213.23553652705692
75.16666666666667,-213.04506426482985
75.18333333333334,-212.85487050155498
75.2,-212.66495435429582
75.21666666666667,-212.47531494091768
75.23333333333333,-212.28595138020077
75.25,-212.09686279195301
75.26666666666667,-211.90804829713696
75.28333333333333,-211.71950701798923
75.3,-211.53123807812614
75.31666666666666,-211.34324060267633
75.33333333333333,-211.15551371839635
75.35,-210.96805655379092
75.36666666666666,-210.78086823922058
75.38333333333334,-210.59394790701143
75.4,-210.40729469157475
75.41666666666667,-210.22090772951535
75.43333333333334,-210.0347861597261
75.45,-209.8489291234946
75.46666666666667,-209.66333576460264
75.48333333333333,-209.47800522941543
75.5,-209.29293666698018
75.51666666666667,-209.10812922910554
75.53333333333333,-208.9235820704528
75.55,-208.7392943486154
75.56666666666666,-208.55526522420453
75.58333333333333,-208.37149386091477
75.6,-208.18797942561116
75.61666666666666,-208.00472108839554
75.63333333333334,-207.82171802267743
75.65,-207.63896940524913
75.66666666666667,-207.45647441635276
75.68333333333334,-207.2742322397486
75.7,-207.0922420627748
75.71666666666667,-206.91050307642678
75.73333333333333,-206.7290144754118
75.75,-206.54777545822193
75.76666666666667,-206.36678522719205
75.78333333333333,-206.1860429885739
75.8,-206.00554795259572
75.81666666666666,-205.82529933352828
75.83333333333333,-205.6452963497446
75.85,-205.46553822379354
75.86666666666666,-205.2860241824572
75.88333333333334,-205.10675345681423
75.9,-204.92772528230998
75.91666666666667,-204.7489388988106
75.93333333333334,-204.57039355067826
75.95,-204.39208848681835
75.96666666666667,-204.21402296075055
75.98333333333333,-204.03619623066965
76.0,-203.85860755950222
76.01666666666667,-203.70177496496132
76.03333333333333,-203.5450763758655
76.05,-203.3885115826517
76.06666666666666,-203.23208037815687
76.08333333333333,-203.07578255767925
76.1,-202.91961791904663
76.11666666666666,-202.76358626267418
76.13333333333334,-202.60768739163322
76.15,-202.45192111170522
76.16666666666667,-202.2962872314417
76.18333333333334,-202.14078556222375
76.2,-201.98541591831454
76.21666666666667,-201.8301781169037
76.23333333333333,-201.67507197816062
76.25,-201.52009732527756
76.26666666666667,-201.36525398449933
76.28333333333333,-201.2105417851572
76.3,-201.05596055968346
76.31666666666666,-200.90151014362587
76.33333333333333,-200.7471903756295
76.35,-200.5930010974155
76.36666666666666,-200.43894215374408
76.38333333333334,-200.28501339232946
76.4,-200.13121466376032
76.41666666666667,-199.97754582137375
76.43333333333334,-199.824006721114
76.45,-199.67059722133612
76.46666666666667,-199.5173171826187
76.48333333333333,-199.3641664675146
76.5,-199.2111449402859
76.51666666666667,-199.0582524666097
76.53333333333333,-198.90548891326569
76.55,-198.75285414777463
76.56666666666666,-198.6003480380663
76.58333333333333,-198.4479704520704
76.6,-198.29572125734947
76.61666666666666,-198.1436003206778
76.63333333333334,-197.99160750765392
76.65,-197.83974268227854
76.66666666666667,-197.68800570655924
76.68333333333334,-197.536396440104
76.7,-197.3849147397307
76.71666666666667,-197.23356045909313
76.73333333333333,-197.0823334483197
76.75,-196.93123355365387
76.76666666666667,-196.78026061714627
76.78333333333333,-196.62941447634705
76.8,-196.47869496402467
76.81666666666666,-196.32810190791108
76.83333333333333,-196.17763513047686
76.85,-196.0272944487248
76.86666666666666,-195.87707967402724
76.88333333333334,-195.72699061197346
76.9,-195.57702706225342
76.91666666666667,-195.42718881856175
76.93333333333334,-195.27747566853358
76.95,-195.12788739371462
76.96666666666667,-194.97842376953196
76.98333333333333,-194.82908456532218
77.0,-194.6798695443494
77.01666666666667,-194.55129721386328
77.03333333333333,-194.42274598142686
77.05,-194.29421610548258
77.06666666666666,-194.16570783617547
77.08333333333333,-194.03722141549807
77.1,-193.9087570774466
77.11666666666666,-193.78031504818986
77.13333333333334,-193.65189554625783
77.15,-193.52349878273188
77.16666666666667,-193.39512496145423
77.18333333333334,-193.26677427923374
77.2,-193.13844692608012
77.21666666666667,-193.0101430854246
77.23333333333333,-192.88186293436982
77.25,-192.75360664393762
77.26666666666667,-192.62537437934031
77.28333333333333,-192.49716630026037
77.3,-192.36898256115043
77.31666666666666,-192.24082331156777
77.33333333333333,-192.11268869653577
77.35,-191.98457885695146
77.36666666666666,-191.85649393002387
77.38333333333334,-191.7284340497766
77.4,-191.6003993475897
77.41666666666667,-191.47238995283115
77.43333333333334,-191.34440599351947
77.45,-191.21644759707803
77.46666666666667,-191.088514891131
77.48333333333333,-190.96060800438912
77.5,-190.8327270675819
77.51666666666667,-190.70487221444347
77.53333333333333,-190.5770435827726
77.55,-190.44924131550408
77.56666666666666,-190.32146556184452
77.58333333333333,-190.1937164784312
77.6,-190.06599423049
77.61666666666666,-189.93829899302898
77.63333333333334,-189.81063095200176
77.65,-189.6829903054929
77.66666666666667,-189.55537726484084
77.68333333333334,-189.4277920557705
77.7,-189.30023491946824
77.71666666666667,-189.1727061135932
77.73333333333333,-189.04520591327747
77.75,-188.91773461201618
77.76666666666667,-188.79029252252707
77.78333333333333,-188.66287997752517
77.8,-188.53549733042212
77.81666666666666,-188.40814495595114
77.83333333333333,-188.2808232507164
77.85,-188.15353263365057
77.86666666666666,-188.02627354640086
77.88333333333334,-187.89904645362938
77.9,-187.7718518432453
77.91666666666667,-187.64469022653356
77.93333333333334,-187.51756213823344
77.95,-187.39046813653502
77.96666666666667,-187.26340880299202
77.98333333333333,-187.13638474237524
78.0,-187.00939658248
78.01666666666667,-186.85679653633997
78.03333333333333,-186.70436195659178
